City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,tura,25.5198,90.2201,66.63,92,15,3.94,IN,1698608452
159,grand baie,-20.0182,57.5802,75.67,75,1,12.64,MU,1698608453
160,alesund,62.4723,6.1549,42.75,58,0,20.71,NO,1698608453
161,unjha,23.8,72.4,77.45,35,97,3.62,IN,1698608453
162,tindouf,27.6711,-8.1474,84.65,17,20,9.22,DZ,1698608454
163,tralee,52.2704,-9.7026,47.57,91,94,3.4,IE,1698608454
164,fort bragg,35.139,-79.006,84.81,49,0,10.36,US,1698608227
165,saint-philippe,-21.3585,55.7679,76.59,87,53,10.78,RE,1698608455
166,port hedland,-20.3167,118.5667,77.05,100,97,6.91,AU,1698608455
167,mount gambier,-37.8333,140.7667,51.67,90,71,8.75,AU,1698608455
168,lerwick,60.1545,-1.1494,46.4,68,14,29.15,GB,1698608456
169,hefei,31.8639,117.2808,59.02,77,0,6.71,CN,1698608456
170,la sarre,48.8002,-79.1996,35.8,75,100,7.67,CA,1698608405
171,hamilton,39.1834,-84.5333,58.24,93,100,4.61,US,1698608457
172,sao joao da barra,-21.6403,-41.0511,84.29,84,96,21.65,BR,1698608372
173,brisas de zicatela,15.8369,-97.0419,86.52,51,75,5.75,MX,1698608457
174,lianzhou,24.7811,112.3825,64.04,95,28,2.89,CN,1698608457
175,tromso,69.6496,18.957,24.82,93,40,4.61,NO,1698608458
176,crockett,31.3182,-95.4566,60.78,94,100,9.22,US,1698608458
177,west island,-12.1568,96.8225,78.78,78,100,14.97,CC,1698608459
178,stanley,54.868,-1.6985,47.79,93,75,8.05,GB,1698608459
179,st. john's,47.5649,-52.7093,46.15,67,75,25.32,CA,1698608366
180,kirensk,57.7853,108.1119,24.96,51,100,8.01,RU,1698608460
181,rajpipla,21.8667,73.5,75.83,33,100,4.25,IN,1698608460
182,badger,64.8,-147.5333,30.7,81,20,4.61,US,1698608460
183,dem'yanovo,60.3511,47.0842,27.48,96,100,2.21,RU,1698608461
184,mount pearl,47.5166,-52.7813,45.32,67,75,25.32,CA,1698608461
185,pangai,-19.8,-174.35,78.91,83,75,13.8,TO,1698608461
186,galliano,29.4422,-90.2992,88.0,61,40,8.05,US,1698608462
187,kyshtovka,56.555,76.6271,20.34,88,100,5.01,RU,1698608462
188,fortuna,40.5982,-124.1573,71.94,45,0,0.0,US,1698608462
189,nadi,-17.8,177.4167,75.2,83,20,4.61,FJ,1698608463
190,bamboo flat,11.7,92.7167,80.47,80,98,0.81,IN,1698608463
191,freetown,8.484,-13.2299,79.36,84,6,5.68,SL,1698608464
192,ola,59.5833,151.2833,28.26,68,15,5.17,RU,1698608464
193,santa terezinha,-29.9002,-50.0904,73.11,83,68,6.51,BR,1698608465
194,quellon,-43.1167,-73.6167,46.42,68,92,15.57,CL,1698608465
195,aasiaat,68.7098,-52.8699,19.38,84,100,1.77,GL,1698608465
196,makokou,0.5738,12.8642,71.91,94,38,1.77,GA,1698608466
197,corsicana,32.0954,-96.4689,50.25,92,100,11.5,US,1698608466
198,durban,-29.8579,31.0292,59.92,63,75,16.93,ZA,1698608466
199,chaozhou,23.6651,116.6379,73.26,89,37,2.08,CN,1698608467
200,chonchi,-42.6128,-73.8092,51.12,69,55,11.5,CL,1698608467
201,kargasok,59.0556,80.8572,11.97,94,50,3.0,RU,1698608468
202,lata,40.1629,-8.3327,62.82,96,83,4.79,PT,1698608468
203,shache,38.4167,77.2406,57.56,26,0,5.37,CN,1698608468
204,lemvig,56.5486,8.3102,49.19,96,100,15.17,DK,1698608469
205,villa gesell,-37.2639,-56.973,59.23,79,100,12.44,AR,1698608469
206,guelendeng,10.9176,15.5501,85.14,46,22,4.74,TD,1698608470
207,tutoia,-2.7619,-42.2744,82.81,68,15,15.64,BR,1698608471
208,susuman,62.7833,148.1667,-0.02,99,96,1.01,RU,1698608471
209,glace bay,46.1969,-59.957,45.79,64,75,17.27,CA,1698608472
210,belmonte,-15.8631,-38.8828,78.51,70,38,10.94,BR,1698608472
211,sitka,57.0531,-135.33,44.49,70,75,4.61,US,1698608472
212,luderitz,-26.6481,15.1594,70.81,33,1,14.16,NA,1698608473
213,constantia,44.1833,28.65,59.7,62,0,8.08,RO,1698608394
214,kerikeri,-35.2268,173.9474,62.91,96,100,4.0,NZ,1698608473
215,zeya,53.75,127.2667,35.49,56,100,1.23,RU,1698608474
216,praia da vitoria,38.7333,-27.0667,61.05,77,20,10.58,PT,1698608474
217,keflavik,64.0049,-22.5624,41.43,70,0,4.61,IS,1698608474
218,soe,-9.8607,124.284,64.53,90,71,4.0,ID,1698608475
219,piti village,13.4626,144.6933,82.45,90,0,3.44,GU,1698608475
220,akobo,7.4344,3.9497,83.75,74,20,4.61,NG,1698608476
221,lompoc,34.6391,-120.4579,80.69,36,0,8.01,US,1698608206
222,ares,-6.1944,-35.1603,82.49,67,100,15.48,BR,1698608476
223,caleta de carquin,-11.0925,-77.6267,71.65,77,62,12.62,PE,1698608477
224,port saint john's,-31.6229,29.5448,59.56,59,100,9.17,ZA,1698608477
225,mokrous,51.2333,47.5167,39.9,79,100,17.76,RU,1698608477
226,altamira,-3.2033,-52.2064,96.89,46,40,9.22,BR,1698608478
227,atafu village,-8.5421,-172.5159,84.15,70,94,10.49,TK,1698608478
228,mirny,62.5353,113.9611,14.38,92,100,7.14,RU,1698608478
229,road town,18.4167,-64.6167,84.29,79,75,6.91,VG,1698608479
230,gargalianoi,37.0667,21.6333,68.36,76,46,8.5,GR,1698608479
231,jamestown,42.097,-79.2353,47.79,92,100,6.91,US,1698608185
232,almenara,-16.1836,-40.6944,92.82,29,28,7.31,BR,1698608480
233,chaman,30.9236,66.4512,64.09,34,100,1.03,PK,1698608480
234,kailua-kona,19.6406,-155.9956,84.27,73,40,6.91,US,1698608481
235,boke,10.9409,-14.2967,77.16,92,5,3.74,GN,1698608481
236,prince rupert,54.3161,-130.3201,41.09,80,0,4.61,CA,1698608482
237,kingston,17.997,-76.7936,91.24,63,20,6.91,JM,1698608409
238,kentville,45.0835,-64.4988,46.4,61,100,9.22,CA,1698608278
239,azadshahr,34.7909,48.5707,45.09,36,0,4.61,IR,1698608482
240,akhty,41.4597,47.7312,54.14,83,100,0.54,RU,1698608483
241,mbala,-8.8402,31.3659,67.8,67,100,1.25,ZM,1698608483
242,rupert,42.6191,-113.6772,37.35,35,0,9.22,US,1698608484
243,malindi,-3.2175,40.1191,79.57,85,55,11.18,KE,1698608484
244,qaqortoq,60.7167,-46.0333,39.69,63,100,13.62,GL,1698608484
245,potam,27.6,-110.3833,85.98,34,0,6.67,MX,1698608485
246,hailey,43.5196,-114.3153,35.91,55,0,5.99,US,1698608485
247,torghay,49.6339,63.4981,52.7,85,20,14.32,KZ,1698608485
248,kavalerovo,44.2661,135.0572,39.54,57,13,1.99,RU,1698608486
249,singoli,24.9667,75.3,73.08,41,59,3.47,IN,1698608486
250,pisco,-13.7,-76.2167,77.05,61,0,20.71,PE,1698608487
251,antofagasta,-23.65,-70.4,67.28,72,11,9.95,CL,1698608487
252,lagoa,39.05,-27.9833,61.68,67,100,9.4,PT,1698608488
253,selkirk,50.1436,-96.8845,28.09,80,98,8.01,CA,1698608351
254,mount isa,-20.7333,139.5,67.77,73,96,0.0,AU,1698608488
255,terrace,54.5163,-128.6035,30.11,74,75,8.05,CA,1698608489
256,rio pardo,-29.9897,-52.3781,81.88,71,20,6.82,BR,1698608489
257,kamloops,50.6665,-120.3192,32.99,51,75,5.75,CA,1698608490
258,woolgoolga,-30.1106,153.2007,60.67,82,3,7.49,AU,1698608490
259,as suki,13.3167,33.8833,78.28,70,50,6.69,SD,1698608490
260,gryazovets,58.88,40.2525,25.2,96,42,6.78,RU,1698608491
261,balakhta,55.38,91.6,17.1,82,3,3.67,RU,1698608491
262,cabinda,-5.55,12.2,82.54,83,40,8.05,AO,1698608492
263,nahiyat ash shinafiyah,31.5874,44.6602,81.57,26,95,5.91,IQ,1698608492
264,purranque,-40.9167,-73.1667,49.33,33,98,9.82,CL,1698608492
265,presidente medici,-11.1753,-61.9014,99.55,26,92,5.06,BR,1698608492
266,klin,56.3333,36.7333,30.79,89,100,4.83,RU,1698608493
267,labytnangi,66.6572,66.4183,7.25,98,99,3.36,RU,1698608493
268,vadso,70.0744,29.7487,23.16,86,75,10.36,NO,1698608493
269,baoqing,46.3317,132.2111,36.79,67,39,7.54,CN,1698608494
270,teluknaga,-6.0989,106.6381,84.96,88,20,4.61,ID,1698608494
271,weyburn,49.6668,-103.8511,25.02,74,100,11.5,CA,1698608184
272,juneau,58.3019,-134.4197,38.41,95,100,4.61,US,1698608495
273,suva,-18.1416,178.4415,72.88,100,75,3.44,FJ,1698608495
274,peruibe,-24.32,-46.9983,76.1,96,100,3.11,BR,1698608496
275,mbanza-ngungu,-5.25,14.8667,76.41,71,97,3.27,CD,1698608496
276,port lincoln,-34.7333,135.8667,54.77,85,1,11.77,AU,1698608497
277,balqash,46.8481,74.995,52.5,86,100,4.09,KZ,1698608497
278,scone,56.4194,-3.4051,48.88,90,100,10.0,GB,1698608497
279,ipsala,40.9212,26.3827,62.4,66,0,4.7,TR,1698608498
280,colonel hill,22.7667,-74.2167,81.99,78,6,18.84,BS,1698608499
281,rongelap,11.1635,166.8941,83.32,71,100,20.2,MH,1698608499
282,manokwari,-0.8667,134.0833,77.61,80,63,2.71,ID,1698608499
283,razole,16.4833,81.8333,75.16,82,5,3.6,IN,1698608500
284,sabang,5.8933,95.3214,81.0,75,91,1.48,ID,1698608500
285,yuzhno-kurilsk,44.0306,145.8556,46.38,76,5,6.02,RU,1698608500
286,kununurra,-15.7667,128.7333,73.38,88,75,0.0,AU,1698608501
287,sosnogorsk,63.6023,53.8817,21.54,85,100,10.0,RU,1698608501
288,victoria,22.2855,114.1577,78.33,82,95,5.01,HK,1698608502
289,betio village,1.358,172.9211,82.44,71,100,8.32,KI,1698608502
290,hadibu,12.65,54.0333,79.5,74,34,8.12,YE,1698608502
291,berdigestyakh,62.0989,126.6992,-7.85,100,71,2.21,RU,1698608503
292,ambon,-3.6954,128.1814,75.34,94,20,8.05,ID,1698608503
293,obo,5.3998,26.4869,73.65,82,87,3.8,CF,1698608503
294,ndele,8.4109,20.6473,75.06,74,51,2.37,CF,1698608504
295,kenai,60.5544,-151.2583,40.14,77,100,18.41,US,1698608504
296,lorengau,-2.0226,147.2712,78.66,86,100,7.09,PG,1698608504
297,bikenibeu village,1.3673,173.1241,82.36,89,75,0.0,KI,1698608505
298,roxas city,11.5853,122.7511,78.15,85,81,6.02,PH,1698608505
299,le mars,42.7942,-96.1656,30.85,55,0,9.22,US,1698608505
300,vanino,49.0869,140.2543,38.93,61,31,3.38,RU,1698608506
301,hacienda la calera,-32.7833,-71.2167,61.59,62,51,8.57,CL,1698608506
302,christchurch,-43.5333,172.6333,57.42,80,40,8.05,NZ,1698608507
303,nuuk,64.1835,-51.7216,30.81,86,100,12.66,GL,1698608507
304,tazovsky,67.4667,78.7,3.4,94,14,3.38,RU,1698608452
305,hobyo,5.3505,48.5268,76.26,93,100,6.67,SO,1698608507
